year, month, day, time, temp
2019,11,11,6:00,-4.5
2019,11,11,7:00,-4.7
2019,11,11,8:00,-4.7
2019,11,11,9:00,-4.6
2019,11,11,10:00,-4.3
2019,11,11,11:00,-4.1
2019,11,11,12:00,-4.1
2019,11,11,13:00,-4.2
2019,11,11,14:00,-4.8
2019,11,11,15:00,-5.6
2019,11,11,16:00,-5.8
2019,11,11,17:00,-6.2
2019,11,11,18:00,-6.3
2019,11,11,19:00,-6.3
2019,11,11,20:00,-6.4
2019,11,11,21:00,-6.4
2019,11,11,22:00,-6.4
2019,11,11,23:00,-6.5
2019,11,12,00:00,-6.5
2019,11,12,1:00,-6.5
2019,11,12,2:00,-6.7
2019,11,12,3:00,-6.9
2019,11,12,4:00,-7.0
2019,11,12,5:00,-7.2
2019,11,12,6:00,-7.4
2019,11,12,7:00,-7.7
2019,11,12,8:00,-7.9
2019,11,12,9:00,-7.6
2019,11,12,10:00,-7.6
2019,11,12,11:00,-7.1
2019,11,12,12:00,-6.3
2019,11,12,13:00,-6.2
2019,11,12,14:00,-6.2
2019,11,12,15:00,-5.7
2019,11,12,16:00,-5.7
2019,11,12,17:00,-6.9
2019,11,12,18:00,-8.1
2019,11,12,19:00,-8.8
2019,11,12,20:00,-9.6
2019,11,12,21:00,-10.7
2019,11,12,22:00,-11.7
2019,11,12,23:00,-12.0
2019,11,13,00:00,-12.7
2019,11,13,1:00,-13.6
2019,11,13,2:00,-14.4
2019,11,13,3:00,-14.9
2019,11,13,4:00,-15.0
2019,11,13,5:00,-15.0
2019,11,13,6:00,-15.7
2019,11,13,7:00,-16.0
2019,11,13,8:00,-15.5
2019,11,13,9:00,-14.1
2019,11,13,10:00,-12.7
2019,11,13,11:00,-11.5
2019,11,13,12:00,-9.2
2019,11,13,13:00,-9.7
2019,11,13,14:00,-9.5
2019,11,13,15:00,-8.8
2019,11,13,16:00,-8.0
2019,11,13,17:00,-9.4
2019,11,13,18:00,-9.2
2019,11,13,19:00,-10.0
2019,11,13,20:00,-8.6
2019,11,13,21:00,-8.7
2019,11,13,22:00,-7.9
2019,11,13,23:00,-6.8
2019,11,14,00:00,-3.0
2019,11,14,1:00,-2.6
2019,11,14,2:00,-2.2
2019,11,14,3:00,-2.0
2019,11,14,4:00,-1.1
2019,11,14,5:00,-0.7
2019,11,14,6:00,-0.1
2019,11,14,7:00,0.4
2019,11,14,8:00,0.5
2019,11,14,9:00,0.3
2019,11,14,10:00,0.3
2019,11,14,11:00,-0.1
2019,11,14,12:00,0.4
2019,11,14,13:00,0.8
2019,11,14,14:00,1.5
2019,11,14,15:00,0.2
2019,11,14,16:00,0.7
2019,11,14,17:00,0.9
2019,11,14,18:00,1.4
2019,11,14,19:00,1.3
2019,11,14,20:00,1.1
2019,11,14,21:00,0.0
2019,11,14,22:00,1.4
2019,11,14,23:00,1.2
