Year,Month,Day,Time,Temp
2019,11,04,4:00:01,16.9
2019,11,04,4:15:00,16.9
2019,11,04,4:30:00,16.9
2019,11,04,4:45:00,16.9
2019,11,04,5:00:00,16.9
2019,11,04,5:15:00,16.8
2019,11,04,5:30:00,16.8
2019,11,04,5:45:00,16.8
2019,11,04,6:00:00,16.8
2019,11,04,6:15:00,16.8
2019,11,04,6:30:01,16.8
2019,11,04,6:45:00,16.8
2019,11,04,7:00:00,16.8
2019,11,04,7:15:00,16.8
2019,11,04,7:30:01,16.9
2019,11,04,7:45:00,16.9
2019,11,04,8:00:00,16.9
2019,11,04,8:15:00,16.9
2019,11,04,8:30:00,16.9
2019,11,04,8:45:00,16.9
2019,11,04,9:00:00,16.9
2019,11,04,9:15:00,16.9
2019,11,04,9:30:00,16.9
2019,11,04,9:45:00,16.9
2019,11,04,10:00:00,16.9
2019,11,04,10:15:00,16.9
2019,11,04,10:30:01,16.9
2019,11,04,10:45:00,16.9
2019,11,04,11:00:00,16.9
2019,11,04,11:15:01,16.9
2019,11,04,11:30:00,16.9
2019,11,04,11:45:00,16.9
2019,11,05,12:00:00,16.9
2019,11,05,12:15:01,17.2
2019,11,05,12:30:00,17.3
2019,11,05,12:45:00,17.3
2019,11,05,1:00:01,17.3
2019,11,05,1:15:00,17.3
2019,11,05,1:30:01,17.2
2019,11,05,1:45:00,17.1
2019,11,05,2:00:02,17.0
2019,11,05,2:15:00,16.9
2019,11,05,2:30:01,16.8
2019,11,05,2:45:00,16.8
2019,11,05,3:00:01,16.7
2019,11,05,3:15:00,16.6
2019,11,05,3:30:00,16.6
2019,11,05,3:45:00,16.5
2019,11,05,4:00:00,16.4
2019,11,05,4:15:00,16.4
2019,11,05,4:30:00,16.4
2019,11,05,4:45:00,16.3
2019,11,05,5:00:00,16.3
2019,11,05,5:15:00,16.2
2019,11,05,5:30:00,16.1
2019,11,05,5:45:00,16.1
2019,11,05,6:00:00,16.1
2019,11,05,6:15:00,16.0
2019,11,05,6:30:00,16.0
2019,11,05,6:45:00,16.0
2019,11,05,7:00:01,15.9
2019,11,05,7:15:01,15.9
2019,11,05,7:30:00,15.9
2019,11,05,7:45:00,15.8
2019,11,05,8:00:01,15.8
2019,11,05,8:15:00,15.8
2019,11,05,8:30:00,15.8
2019,11,05,8:45:01,15.8
2019,11,05,9:00:00,15.8
2019,11,05,9:15:00,15.9
2019,11,05,9:30:00,15.9
2019,11,05,9:45:00,16.0
2019,11,05,10:00:00,16.0
2019,11,05,10:15:00,16.1
2019,11,05,10:30:00,16.1
2019,11,05,10:45:00,16.2
2019,11,05,11:00:00,16.3
2019,11,05,11:15:01,16.3
2019,11,05,11:30:00,16.4
2019,11,05,11:45:00,16.5
2019,11,05,12:00:00,16.6
2019,11,05,12:15:00,16.6
2019,11,05,12:30:00,16.7
2019,11,05,12:45:01,16.7
2019,11,05,1:00:00,16.7
2019,11,05,1:15:00,16.8
2019,11,05,1:30:00,16.8
2019,11,05,1:45:01,16.8
2019,11,05,2:00:00,16.8
2019,11,05,2:15:00,16.8
2019,11,05,2:30:00,16.8
2019,11,05,2:45:01,16.8
2019,11,05,3:00:00,16.8
2019,11,05,3:15:00,16.7
2019,11,05,3:30:00,16.7
2019,11,05,3:45:01,16.7
2019,11,05,4:00:00,16.6
2019,11,05,4:15:01,16.6
2019,11,05,4:30:00,16.6
